바나나	0.86
소고기	99.48
포도	1.53
설탕	3.2
치즈	23.88
감귤류과일	0.39
커피	28.53
초콜릿	46.65
케이크	4.67
물고기	13.63
땅콩    3.23
양고기 	39.72
옥수수	1.7
우유	3.15
견과류	0.43
다른과일	1.05
다른펄스	1.79
다른야채	0.53
돼지고기	12.31
감자	0.46
가금류고기	9.87
새우	26.87
뿌리채소	0.43
두유	0.98
두부	3.16
밀가루	0.982
밀  2.5
쌀	1.511
보리	0.686
옥수수	1.25
고구마	0.197
감자	0.292
수박	0.203
콩	0.586
무	0.109
배추	0.117
대파	0.263
쪽파	0.662
양배추	0.131
생강	0.674
당근	0.135
오이	0.795
토마토	0.941
방울토마토	1.891
상추	0.521
고추	2.571
호박	0.667
가지	1.749
마늘	0.582
양파	0.107
사과	0.497
배추	0.412
복숭아	0.366
단감	0.315
포도	2.121
감귤	3.049
참다래	0.384
유자	0.46
부추	0.388
시금치	0.535
참외	0.528
딸기	2.722
인삼	1.657
참깨	3.851
느타리버섯	2.206
오미자	0.972
녹차	5.732
더덕	3.814
